Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
85,Agha Salman,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Agha Salman, 1 run, bit too full in length and Salman drives it down to long-on"
86,Agha Salman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Agha Salman, no run, slower and drifted across, Salman defends to cover"
87,Fakhar Zaman,Kuldeep Yadav,,full,outside,0,0,1,flick,"Kuldeep Yadav to Fakhar Zaman, 1 run, floated up close to off, Zaman sweeps to deep mid-wicket and Kishan keeps it to a single"
88,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Fakhar Zaman, no run, dropped? By the reactions of the players, it looks like Rohit has put it down"
89,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,pull,"Kuldeep Yadav to Fakhar Zaman, no run, flighted around off, Zaman pushes it off the inner half to mid-on"
90,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, on a length and outside off, Salman shoulders arms"
91,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, hip-lined delivery, Zaman tucks it to deep square leg"
92,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, charges down the wicket and is met by a shortened length, misses the tuck and is struck on the thigh pad"
93,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, angled outside off, Zaman lifts his bat and lets it go"
94,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, fullish delivery on off, Zaman defends it back to Hardik"
95,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run,"
96,Agha Salman,Thakur,,full,outside,0,0,0,defend,"Thakur to Agha Salman, no run, decks in from good length and cuts Salman into half, he was pressing forward to defend but is beaten due to the movement"
97,Fakhar Zaman,Thakur,,full,outside,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, too straight - on middle and leg, Zaman flicks to deep square leg"
98,Fakhar Zaman,Thakur,,full,straight,0,0,0,flick,"Thakur to Fakhar Zaman, no run, 136ks back of a length delivery on off, Zaman blocks it to Shardul"
99,Fakhar Zaman,Thakur,,full,outside,0,0,0,flick,"Thakur to Fakhar Zaman, no run, stifled appeal for LBW"
100,Agha Salman,Thakur,,full,straight,0,0,1,cover drive,"Thakur to Agha Salman, 1 run, full and outside off, Salman drives with an open bat face towards sweeper cover"
101,Fakhar Zaman,Thakur,,full,outside,0,0,1,defend,"Thakur to Fakhar Zaman, 1 run, hip-lined delivery, Zaman tucks it to deep square leg"
102,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, beauty, How has that missed the edge or off-stump? Salman is lucky to be out there"
103,Agha Salman,Hardik Pandya,,full,outside,0,0,2,cut,"Hardik Pandya to Agha Salman, 2 runs, fullish in-angler, Salman pushes it off the inner half past mid-wicket and picks up a brace"
104,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, short of length delivery, Zaman mistimes the pull to deep square leg"
105,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, another delivery that goes past the edge"
106,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,pull,"Hardik Pandya to Fakhar Zaman, no run, 136ks fuller and around off, Zaman pushes it off the top half of the bat to cover"
107,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, leg byes, 1 run, nips back in from short of length, Salman hops and is beaten on the inside edge, the ball deflects off the thigh pad to backward point"
108,Agha Salman,Hardik Pandya,,full,straight,0,0,5,flick,"Hardik Pandya to Agha Salman, 5 wides, bouncer but too short and keeps climbing, Salman does not even have to duck fully and he sees the ball fly over him, no chance for Rahul as well"
109,Fakhar Zaman,Thakur,,full,outside,0,0,0,cover drive,"Thakur to Fakhar Zaman, no run, uhh, He produces jaffas every now and then"
