Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
183,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, sliding into the pads, Kishan tucks it straight to backward square"
184,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,drive,"Dhananjaya to Ishan Kishan, no run, floated up too full, Kishan mistimes the drive to cover"
185,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, flighted outside off, Kishan attempts to cut but can only chop it to the off-side"
186,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, holds the length back, Kishan pushes it off the inner half to mid-wicket"
187,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, drifts in with the angle, Kishan blocks to the left of DDS"
188,Ishan Kishan,Wellalage,,full,straight,0,0,0,cover drive,"Wellalage to Ishan Kishan, no run, wicket maiden, Flighted and turns in, Kishan leans forward and defends to the on-side"
189,Shubman Gill,Wellalage,,full,straight,1,0,0,defend,"Wellalage to Shubman Gill, out Bowled,, Cleaned up, What a ball, Wellalage has produced a jaffa first up to break the partnership"
190,Shubman Gill,Pathirana,,full,outside,0,0,1,flick,"Pathirana to Shubman Gill, 1 run, 142ks full and at the stumps, Gill flicks wide of mid-on and Theekshana makes a diving stop"
191,Shubman Gill,Pathirana,,full,outside,0,0,4,flick,"Pathirana to Shubman Gill, FOUR, no maiden for Pathirana"
192,Shubman Gill,Pathirana,,full,straight,0,0,0,defend,"Pathirana to Shubman Gill, no run, 144ks short and outside off, Gill chops the cut towards cover-point"
193,Shubman Gill,Pathirana,,full,straight,0,0,0,defend,"Pathirana to Shubman Gill, no run, dipping slower ball on leg, Gill digs it out to mid-wicket"
194,Shubman Gill,Pathirana,,full,outside,0,0,0,cover drive,"Pathirana to Shubman Gill, no run, short of length around off, Gill rides the bounce and punches to cover-point"
195,Shubman Gill,Pathirana,,full,outside,0,0,0,defend,"Pathirana to Shubman Gill, no run, 141ks slingy into the pads, Gill clips it straight to square leg"
196,Shubman Gill,Pathirana,,full,straight,0,0,0,cover drive,"Pathirana to Shubman Gill, no run, full delivery on leg-stump, Gill leans forward and gently turns it to mid-wicket"
197,Shubman Gill,Shanaka,,full,leg,0,0,1,flick,"Shanaka to Shubman Gill, 1 run, on a length and outside off, Gill opens the bat face and guides it to third man"
198,Shubman Gill,Shanaka,,full,straight,0,0,0,defend,"Shanaka to Shubman Gill, no run, walks down the wicket and is made to reach for the delivery outside off, knocks it back to Shanaka"
199,Shubman Gill,Shanaka,,full,outside,0,0,0,cover drive,"Shanaka to Shubman Gill, no run, fuller and around off, Gill prods forward and defends to the off-side"
200,Shubman Gill,Shanaka,,full,outside,0,0,1,defend,"Shanaka to Shubman Gill, 1 run, 122ks short of length delivery, Gill plays a controlled cut to deep backward point"
201,Shubman Gill,Shanaka,,full,outside,0,0,0,cover drive,"Shanaka to Shubman Gill, no run, missed out there"
202,Shubman Gill,Shanaka,,full,outside,0,0,0,defend,"Shanaka to Shubman Gill, no run, 124ks fullish delivery around off, Gill works it wristily to mid-on"
203,Shubman Gill,Shanaka,,full,outside,0,0,0,leave,"Shanaka to Shubman Gill, no run, 121ks good length ball on off, Gill prods forward and blocks it back"
204,Shubman Gill,Rajitha,,full,leg,0,0,1,flick,"Rajitha to Shubman Gill, 1 run, on a length and outside off, Gill opens the bat face and guides to third man"
205,Shubman Gill,Rajitha,,full,outside,0,1,1,defend,"Rajitha to Shubman Gill, wide, slower ball sprayed down leg, no chance for Gill to make contact and Kusal Mendis parries it to short fine"
206,Shubman Gill,Rajitha,,full,outside,0,0,2,cover drive,"Rajitha to Shubman Gill, 2 runs, excellent work by Wellalage"
207,Shubman Gill,Rajitha,,full,outside,0,0,4,drive,"Rajitha to Shubman Gill, FOUR, shot, Gill advances down the pitch, makes it into a fullish delivery and lofts through the line over mid-off, couple of bounces and over the rope"
208,Shubman Gill,Rajitha,,full,straight,0,0,0,defend,"Rajitha to Shubman Gill, no run, 137ks back of a length delivery, Gill rides the bounce and knocks it to short cover-point"
209,Shubman Gill,Theekshana,,full,straight,0,0,1,cover drive,"Theekshana to Shubman Gill, 1 run, 98ks flatter and shorter, Gill punches to long-on"
210,Shubman Gill,Rajitha,,full,outside,0,0,1,defend,"Rajitha to Shubman Gill, 1 run, good length ball and stays low, Gill toe-ends the cut past backward point"
211,Shubman Gill,Theekshana,,full,straight,0,0,0,cover drive,"Theekshana to Shubman Gill, no run, 97ks short of length delivery, Gill knocks it back to Theekshana"
212,Shubman Gill,Theekshana,,full,straight,0,0,1,drive,"Theekshana to Shubman Gill, 1 run, 93ks delivery drifts into the pads, Gill nudges to deep square leg"
213,Shubman Gill,Theekshana,,full,outside,0,0,0,cover drive,"Theekshana to Shubman Gill, no run, 90ks carrom ball outside off, Gill defends to cover"
214,Shubman Gill,Rajitha,,full,outside,0,0,2,flick,"Rajitha to Shubman Gill, 2 runs, angled into the pads, Gill flicks it past mid-wicket and gets off the mark with a brace"
